"location","lon","lat","counts","positive.counts","negative.counts","neutral.counts","totalpopulation"
"DAVIE FL",-80.23148346,26.0657177,109,27,35,47,97372
"DAVIS CA",-121.7421722,38.54467773,237,74,57,106,66510
"DAVISON MI",-83.51786804,43.0346489,3,1,0,2,5029
"DAWSONVILLE GA",-84.11881256,34.42126083,5,1,3,1,2416
"DAYTON IN",-86.76915741,40.37435913,1,1,0,0,1500
"DAYTON KY",-84.47278595,39.11274338,104,37,23,44,5381
"DAYTON OH",-84.19126892,39.75915146,1670,410,493,767,141368
"DAYTON TN",-85.01251221,35.49424744,14,4,1,9,7355
"DAYTON TX",-94.8854599,30.04724884,1,0,1,0,7413
"DAYTON VA",-78.93834686,38.41519165,20,0,11,9,1654
"DAYTONA BEACH FL",-81.02253723,29.21147537,404,112,119,173,62726
"DE PERE WI",-88.06053925,44.4486618,15,6,3,6,24366
"DE SOTO KS",-94.96877289,38.97918701,17,3,6,8,5941
"DE SOTO MO",-90.55529022,38.13964462,20,4,8,8,6469
"DEARBORN HEIGHTS MI",-83.27328491,42.33712769,13,2,4,7,56656
"DEARBORN MI",-83.1758728,42.32239914,126,26,45,55,96069
"DEBARY FL",-81.30838776,28.88345909,28,5,9,14,19547
"DECATUR AL",-86.98355103,34.60622406,71,19,25,27,55598
"DECATUR AR",-94.46137238,36.33617401,1,1,0,0,2306
"DECATUR GA",-84.29631805,33.77489471,588,190,157,241,20605
"DECATUR IL",-88.95516968,39.84060287,138,30,32,76,74654
"DECATUR IN",-84.93001556,40.82580566,11,3,3,5,9084
"DECATUR TX",-97.58672333,33.23470306,5,1,1,3,6301
"DECORAH IA",-91.78575134,43.30333328,12,2,3,7,8009
"DEEPHAVEN MN",-93.51553345,44.9361763,1,0,1,0,3769
"DEER CREEK OK",-97.51993561,36.80317307,24,8,10,6,143
"DEER PARK TX",-95.1242981,29.70559502,5,0,1,4,33313
"DEER PARK WA",-117.4789734,47.95389938,7,0,3,4,3784
"DEERFIELD BEACH FL",-80.09928131,26.31905365,84,24,23,37,78227
"DEERFIELD IL",-87.84490204,42.17103577,31,4,17,10,18588
"DEFIANCE OH",-84.35565948,41.28461838,19,6,6,7,16571
"DEL CITY OK",-97.44128418,35.44212723,11,3,2,6,21898
"DEL MAR CA",-117.2663345,32.95969391,20,6,4,10,4269
"DEL RIO TX",-100.8970642,29.36329842,18,5,7,6,36119
"DELANO CA",-119.2488785,35.76877975,2,1,0,1,52807
"DELAVAN IL",-89.54736328,40.37273788,5,0,1,4,1625
"DELAVAN WI",-88.644104,42.6329422,4,2,1,1,8439
"DELAWARE CITY DE",-75.59502411,39.57416534,20,6,7,7,1933
"DELAWARE OH",-83.06757355,40.29886627,29,6,12,11,36794
"DELLWOOD MO",-90.28582001,38.74936295,4,1,1,2,5011
"DELMAR DE",-75.57416534,38.45691299,2,0,1,1,1784
"DELMONT SD",-98.16448212,43.26812363,1,0,0,1,255
"DELPHI IN",-86.67494202,40.58768845,1,0,0,1,2874
"DELPHOS OH",-84.34170532,40.84327698,4,0,2,2,7261
"DELRAY BEACH FL",-80.07209778,26.46233368,120,40,36,44,63939
"DELTA CO",-108.0698395,38.74222946,40,6,15,19,8779
"DELTONA FL",-81.25521088,28.90277863,11,6,1,4,86418
"DEMING NM",-107.7599793,32.26507187,13,0,3,10,14667
"DEMOPOLIS AL",-87.8364563,32.51809692,2,1,1,0,7249
"DENHAM SPRINGS LA",-90.95632935,30.4871006,11,3,5,3,10126
"DENISON IA",-95.35573578,42.01762009,4,0,1,3,8383
"DENISON TX",-96.53727722,33.75577164,2,1,0,1,22846
"DENMARK SC",-81.14172363,33.32278824,10,4,1,5,3425
"DENTON NC",-80.1153183,35.63389587,18,6,5,7,1766
"DENTON TX",-97.13349915,33.21514893,1071,274,306,491,125734
"DENVER CO",-104.9853745,39.73901749,9577,2613,2685,4279,649654
"DENVER IA",-92.33773041,42.67134857,3,1,1,1,1789
"DENVER PA",-76.13667297,40.23331451,1,0,0,1,3864
"DEPEW NY",-78.69154358,42.90420532,19,4,9,6,15227
"DEPOE BAY OR",-124.0607987,44.81190491,1,0,1,0,1877
"DERBY KS",-97.26980591,37.54567719,48,8,19,21,23731
"DES MOINES IA",-93.6210022,41.59817123,981,284,293,404,208020
"DES MOINES WA",-122.3266525,47.40114594,33,5,14,14,30715
"DES PERES MO",-90.43345642,38.60096741,6,3,2,1,8480
"DES PLAINES IL",-87.8833847,42.03343964,59,21,12,26,58930
"DESERT HOT SPRINGS CA",-116.5035934,33.96113586,26,4,12,10,27912
"DESTIN FL",-86.49551392,30.39405632,107,21,32,54,13055
"DETROIT MI",-83.04567719,42.33172226,6787,1800,1816,3171,690074
"DETROIT TX",-95.26699829,33.66192245,5,0,2,3,767
"DEXTER MO",-89.95834351,36.79595947,22,7,10,5,7920
"DIAMOND BAR CA",-117.8404999,33.97759247,15,9,1,5,56471
"DIBBLE OK",-97.63038635,35.03363037,1,0,0,1,912
"DIBOLL TX",-94.78146362,31.18740463,2,0,2,0,5370
"DICKINSON ND",-102.7891007,46.87979889,22,5,4,13,21097
"DICKINSON TX",-95.05158234,29.46142769,10,1,6,3,19355
"DICKSON TN",-87.38776398,36.07693863,2,0,1,1,14951
"DIETERICH IL",-88.3795929,39.06205368,2,2,0,0,679
"DIKE IA",-92.62843323,42.46409607,1,0,0,1,1376
"DILLON MT",-112.6397934,45.21606064,1,1,0,0,4193
"DILLON SC",-79.37909698,34.41096115,16,3,6,7,6705
"DINUBA CA",-119.3888931,36.543293,3,1,1,1,23243
"DISTRICT HEIGHTS MD",-76.88869476,38.85776138,30,9,7,14,6036
"DIXON CA",-121.8243713,38.44569778,9,4,2,3,18908
"DIXON IL",-89.4799881,41.83919907,1,1,0,0,15196
"DIXON MO",-92.09407043,37.99162674,1,1,0,0,1443
"DOBBS FERRY NY",-73.87168121,41.01457977,13,5,4,4,11055
"DODGE CITY KS",-100.0181732,37.75279617,4,1,1,2,28045
"DODGE NE",-96.88336945,41.7212944,1,0,0,1,651
"DODGEVILLE WI",-90.13021088,42.96014023,1,0,1,0,4678
"DOLGEVILLE NY",-74.77229309,43.10081863,1,0,1,0,2349
"DOLORES CO",-108.5061646,37.47371292,2,1,0,1,1048
"DOLTON IL",-87.6072998,41.63914108,2,1,1,0,23283
"DONALDSONVILLE LA",-90.99317932,30.1011734,2,0,2,0,7577
"DONIPHAN MO",-90.82394409,36.62110138,132,39,35,58,2337
"DONNA TX",-98.05448914,26.17434883,5,1,2,2,16292
"DONORA PA",-79.85721588,40.17367935,11,1,7,3,4697
"DORAVILLE GA",-84.28286743,33.89825821,3,1,0,2,10650
"DOS PALOS CA",-120.6287766,36.98608398,1,0,0,1,5068
"DOTHAN AL",-85.39019775,31.22351265,48,16,11,21,67708
"DOUGLAS GA",-82.84980011,31.50903511,130,34,37,59,11750
"DOUGLASSVILLE TX",-94.35386658,33.19242096,1,0,1,0,150
"DOUGLASVILLE GA",-84.74777222,33.75165939,92,29,20,43,31917
"DOUSMAN WI",-88.4726944,43.01404572,3,0,2,1,2412
"DOVER DE",-75.52090454,39.15853882,111,29,26,56,37144
"DOVER NH",-70.88840485,43.2059021,38,8,14,16,30534
"DOVER OH",-81.4782486,40.51688766,6,0,3,3,12869
"DOVER TN",-87.83837891,36.48816681,1,0,1,0,1894
"DOYLESTOWN OH",-81.69629669,40.96931458,6,2,1,3,3064
"DOYLESTOWN PA",-75.1292038,40.31054688,105,21,38,46,8344
"DRAPER UT",-111.8741074,40.5280838,5,1,3,1,45469
"DREW MS",-90.53083038,33.81049728,11,3,3,5,1941
"DRIPPING SPRINGS TX",-98.08734131,30.19070816,14,4,1,9,2415
"DRY PRONG LA",-92.53327179,31.58175659,1,1,0,0,520
"DU QUOIN IL",-89.2414856,38.01353455,5,2,1,2,6002
"DUARTE CA",-117.9786072,34.13949966,5,1,1,3,21769
"DUBLIN CA",-121.9383392,37.70181274,194,51,53,90,52063
"DUBLIN GA",-82.90332794,32.540802,12,2,3,7,16181
"DUBLIN TX",-98.34241486,32.08526611,6,1,1,4,3671
"DUBLIN VA",-80.68517303,37.10611343,8,6,0,2,2665
"DUBOIS PA",-78.75974274,41.11929321,1,0,1,0,7672
"DUBUQUE IA",-90.67155457,42.51130295,117,38,37,42,58409
"DULUTH MN",-92.10697174,46.78300858,175,44,64,67,86178
"DUMAS AR",-91.48313904,33.88414001,3,1,0,2,4482
"DUNBAR PA",-79.61539459,39.97570801,11,4,2,5,1085
"DUNBAR WV",-81.73683167,38.36086655,11,4,2,5,7798
"DUNCAN OK",-97.95820618,34.50245667,5,4,0,1,23317
"DUNCANNON PA",-77.03134155,40.38898087,2,1,0,1,1598
"DUNCANVILLE TX",-96.9091568,32.65229034,50,13,15,22,39567
"DUNEDIN FL",-82.77127838,28.02050591,87,20,40,27,35712
"DUNLAP IL",-89.67893219,40.86199951,2,1,0,1,1478
"DUNMORE PA",-75.63155365,41.42010117,7,1,1,5,13810
"DUNN NC",-78.60855103,35.30678558,3,0,2,1,9654
"DUNNELLON FL",-82.46072388,29.04970551,4,0,3,1,1783
"DUNWOODY GA",-84.33460236,33.94631958,8,1,3,4,47727
"DURANGO CO",-107.8810043,37.27463913,87,21,30,36,17486
"DURANT OK",-96.37478638,33.99116135,7,0,5,2,16767
"DURHAM NC",-78.89787292,35.99412918,3718,977,1052,1689,246084
"DYERSBURG TN",-89.38568878,36.03469849,3,0,0,3,16932
"EAGAN MN",-93.16746521,44.80387878,89,30,22,37,65424
"EAGLE CO",-106.8298264,39.655159,2,2,0,0,6553
"EAGLE ID",-116.3559189,43.69528198,6,4,1,1,21863
"EAGLE LAKE MN",-93.88172913,44.16489792,5,2,1,2,2612
"EAGLE PASS TX",-100.5002899,28.70978737,11,0,3,8,27956
"EAGLE POINT OR",-122.8052063,42.47254181,1,0,0,1,8701
"EAGLE RIVER WI",-89.24466705,45.91718674,18,6,3,9,1644
"EAGLE WI",-88.4746933,42.87947083,1,0,1,0,1777
"EAGLEVILLE MO",-93.9878006,40.46938705,3,0,1,2,264
"EARLE AR",-90.4671402,35.27531052,4,0,2,2,2134
"EARLY TX",-98.94454956,31.74184799,1,1,0,0,2804
"EARTH TX",-102.4116135,34.23358154,13,6,3,4,832
"EASLEY SC",-82.60394287,34.82990646,11,0,4,7,20374
"EAST CHICAGO IN",-87.44509125,41.64970398,8,1,2,5,29178
"EAST DUBLIN GA",-82.86959839,32.54988098,11,2,2,7,2470
"EAST GRAND FORKS MN",-97.02550507,47.93012619,4,0,1,3,8611
"EAST HAMPTON NY",-72.18353271,40.96551895,6,0,3,3,1148
"EAST HELENA MT",-111.9177475,46.58939743,60,16,24,20,2306
"EAST HILLS NY",-73.62597656,40.79386902,1,1,0,0,7066
"EAST JORDAN MI",-85.1240921,45.15808868,1,0,0,1,2474
"EAST LANSING MI",-84.48403931,42.73703384,684,192,200,292,48669
"EAST LIVERPOOL OH",-80.57673645,40.61891556,14,1,6,7,10999
"EAST MCKEESPORT PA",-79.80618286,40.38326645,44,9,7,28,2140
"EAST MOLINE IL",-90.44459534,41.50070953,6,1,2,3,21422
"EAST ORANGE NJ",-74.21418762,40.76618958,401,121,107,173,64578
"EAST PALO ALTO CA",-122.143013,37.46857452,24,8,3,13,29198
"EAST PEORIA IL",-89.58027649,40.66614151,17,7,5,5,23137
"EAST POINT GA",-84.43933868,33.67996979,103,27,22,54,35357
"EAST PROVIDENCE RI",-71.36916351,41.81398392,20,11,3,6,47266
"EAST ROCHESTER NY",-77.48701477,43.1086731,39,7,12,20,6678
"EAST TROY WI",-88.40551758,42.78525925,13,3,4,6,4304
"EASTLAKE OH",-81.45001984,41.65415955,9,4,2,3,18380
"EASTMAN GA",-83.17722321,32.19805527,16,3,3,10,5375
"EASTON MD",-76.07592773,38.77448654,17,7,6,4,16599
"EASTON PA",-75.21966553,40.68871689,99,27,30,42,26996
"EATON OH",-84.6366806,39.74417877,2,0,1,1,8294
"EATONTON GA",-83.38854218,33.32721329,5,3,1,1,6486
"EATONTOWN NJ",-74.05027008,40.29634094,1,0,0,1,12298
"EATONVILLE WA",-122.2686615,46.86676407,4,0,1,3,2830
"EAU CLAIRE WI",-91.49876404,44.81137466,90,23,21,46,67385
"EDCOUCH TX",-97.96096802,26.29463768,4,0,1,3,3244
"EDEN ID",-114.2123184,42.60542297,1,0,0,1,398
"EDEN NC",-79.76634216,36.48883438,3,1,0,2,15483
"EDEN PRAIRIE MN",-93.48716736,44.85310745,130,35,36,59,62626
"EDGAR SPRINGS MO",-91.86699677,37.70466232,7,1,1,5,216
"EDGEFIELD SC",-81.92941284,33.78982162,1,0,1,0,4723
"EDGEWATER CO",-105.065361,39.75324249,1,0,0,1,5237
"EDGEWATER FL",-80.90637207,28.99158287,40,11,9,20,21050
"EDGEWOOD WA",-122.2963791,47.2498703,10,1,3,6,9600
"EDINA MN",-93.34928131,44.91236496,19,7,6,6,49373
"EDINA MO",-92.1732254,40.16763306,19,7,2,10,1187
"EDINBORO PA",-80.13100433,41.87437439,110,27,32,51,6443
"EDINBURG TX",-98.16417694,26.30259705,200,58,60,82,80924
"EDINBURGH IN",-85.96690369,39.35437775,3,0,2,1,4346
"EDISTO BEACH SC",-80.33158112,32.48329544,1,0,0,1,600
"EDMOND OK",-97.48453522,35.65326309,323,96,108,119,86739
"EDMONDS WA",-122.3799057,47.81037521,402,107,100,195,40689
"EDNA TX",-96.64674377,28.97920609,11,4,6,1,5661
"EDWARDSVILLE IL",-89.95322418,38.8115654,731,216,187,328,24896
"EFFINGHAM IL",-88.54359436,39.12008667,20,7,5,8,12513
"EL CAJON CA",-116.9467392,32.83002472,8,1,7,0,102383
"EL CENTRO CA",-115.5646057,32.79199982,15,4,3,8,43570
"EL CERRITO CA",-122.3142548,37.91544342,234,83,50,101,24418
"EL DORADO AR",-92.66680908,33.20800018,6,1,3,2,18480
"EL DORADO KS",-96.86262512,37.81741714,4,2,1,1,12910
"EL LAGO TX",-95.04547119,29.56394196,57,21,18,18,2754
"EL MIRAGE AZ",-112.3263016,33.61337662,4,1,1,2,33010
"EL MONTE CA",-118.0298996,34.06880569,87,21,22,44,115711
"EL PASO TX",-106.4620514,31.78388405,958,272,243,443,676325
"EL RENO OK",-97.95549011,35.53218842,14,3,3,8,17852
"EL SEGUNDO CA",-118.4185257,33.91943741,39,10,11,18,16929
"ELAINE AR",-90.85227966,34.30869293,3,0,1,2,722
"ELBA AL",-86.06761169,31.41489601,5,0,2,3,3919
"ELBERTON GA",-82.86587524,34.11487579,3,0,2,1,4474
"ELDON MO",-92.58213806,38.34849548,7,0,1,6,4617
"ELDORADO IL",-88.43813324,37.8138237,1,0,1,0,4103
"ELDRIDGE IA",-90.5848465,41.65792465,2,0,1,1,6017
"ELGIN IL",-88.28123474,42.03733444,54,19,13,22,112105
"ELGIN MN",-92.25218964,44.13041306,1,0,1,0,1184
"ELGIN SC",-80.79399872,34.17118073,36,6,20,10,1542
"ELGIN TX",-97.37094879,30.34980202,4,1,0,3,8249
"ELIDA OH",-84.20368195,40.78894424,1,0,0,1,1962
"ELIZABETH CITY NC",-76.22274017,36.3025322,36,12,14,10,18111
"ELIZABETH CO",-104.5973434,39.36034393,2,1,1,0,1236
"ELIZABETH NJ",-74.21881866,40.66823578,63,12,19,32,127759
"ELIZABETH PA",-79.88930511,40.26922607,1,1,0,0,1391
"ELIZABETHTON TN",-82.21013641,36.34902954,33,12,8,13,14058
"ELIZABETHTOWN KY",-85.85932159,37.69418716,27,5,12,10,29657
"ELIZABETHTOWN NC",-78.60453796,34.629673,2,0,1,1,3610
"ELIZABETHTOWN PA",-76.60209656,40.15314865,37,8,12,17,11591
"ELK GROVE CA",-121.3743591,38.40848923,1487,426,427,634,161084
"ELK GROVE VILLAGE IL",-87.97052765,42.00406647,2,0,1,1,33333
"ELK POINT SD",-96.68419647,42.68325424,11,1,5,5,2080
"ELK RAPIDS MI",-85.41677856,44.89548111,1,0,0,1,1541
"ELK RIVER MN",-93.56745911,45.30422974,3,1,0,2,23563
"ELKHART IN",-85.97689056,41.68212128,61,17,20,24,52354
"ELKHART TX",-95.58008575,31.62545013,1,1,0,0,1386
"ELKHORN WI",-88.54447174,42.67270279,2,1,1,0,9998
"ELKIN NC",-80.8482132,36.24475098,8,2,2,4,4217
"ELKINS WV",-79.85980225,38.92602921,5,2,1,2,7244
"ELKO NV",-115.7643967,40.83226395,37,6,13,18,19709
"ELKTON MD",-75.83261108,39.60694122,6,2,2,2,15718
"ELKTON VA",-78.6230011,38.40836716,1,0,1,0,2779
"ELLAVILLE GA",-84.30872345,32.23843384,1,0,0,1,2022
"ELLENSBURG WA",-120.5507507,46.99611664,55,14,15,26,18637
"ELLETTSVILLE IN",-86.62473297,39.23396301,9,4,2,3,6434
"ELLIJAY GA",-84.48228455,34.69475937,2,1,0,1,1952
"ELLSWORTH ME",-68.41850281,44.54365921,1,0,0,1,7832
"ELLWOOD CITY PA",-80.28616333,40.86182404,1,0,0,1,7836
"ELM GROVE WI",-88.07917786,43.04312515,1,1,0,0,6037
"ELMHURST IL",-87.9407196,41.89970398,45,12,12,21,45469
"ELMIRA NY",-76.80737305,42.08998108,100,22,39,39,28817
"ELMORE AL",-86.31501007,32.53902054,3,0,1,2,1671
"ELMWOOD IL",-89.96702576,40.77780151,6,4,1,1,2253
"ELMWOOD PARK IL",-87.80945587,41.92121506,2,1,0,1,24971
"ELMWOOD PARK NJ",-74.1175766,40.90429306,18,2,5,11,19959
"ELOY AZ",-111.5559692,32.75610733,2,0,1,1,16954
"ELSA TX",-97.99377441,26.29435349,3,0,1,2,6444
"ELSBERRY MO",-90.78118896,39.16703796,6,1,3,2,1930
"ELWOOD IN",-85.84185791,40.27725983,1,0,0,1,8484
"ELY IA",-91.58531189,41.87372589,4,1,2,1,1994
"ELY NV",-114.8907013,39.24752045,1,0,0,1,4206
"ELYRIA OH",-82.10734558,41.36825562,108,31,35,42,54050
"EMERSON NJ",-74.02526855,40.97657013,1,0,0,1,7616
"EMERYVILLE CA",-122.2871475,37.83127975,13,3,5,5,10830
"EMMAUS PA",-75.49610138,40.53958893,37,15,14,8,11342
"EMPORIA KS",-96.18218994,38.40393448,13,4,1,8,24739
"EMPORIA VA",-77.54174805,36.68619919,2,0,1,1,5672
"ENCINAL TX",-99.35529327,28.04174042,1,0,0,1,904
"ENCINITAS CA",-117.2937012,33.0371666,45,10,14,21,61682
"ENDICOTT NY",-76.04867554,42.09862137,2,0,0,2,13143
"ENGLAND AR",-91.96916962,34.54467392,2,0,0,2,2794
"ENGLEWOOD CO",-104.9884491,39.6479187,44,16,14,14,31877
"ENGLEWOOD NJ",-73.97172546,40.8928833,50,13,14,23,27992
"ENGLEWOOD OH",-84.30197144,39.87775803,1,0,1,0,13456
"ENGLISHTOWN NJ",-74.35713196,40.29751205,3,0,2,1,2186
"ENID OK",-97.87895203,36.39573288,9,3,4,2,50685
"ENNIS TX",-96.6258316,32.32971191,3,1,1,1,18758
"ENTERPRISE AL",-85.85494995,31.31528282,14,3,3,8,27785
"ENTERPRISE MS",-88.82051849,32.17414474,1,1,0,0,716
"ENUMCLAW WA",-121.9936066,47.20384598,4,1,0,3,11494
"EPHRAIM UT",-111.5881271,39.35956573,2,0,0,2,6598
"EPHRAIM WI",-87.16837311,45.15630341,3,0,2,1,269
"EPHRATA PA",-76.17801666,40.17980194,4,1,2,1,13617
"ERIE CO",-105.0506516,40.0500946,4,0,2,2,19948
"ERIE PA",-80.08492279,42.12926483,367,99,83,185,100678
"ERLANGER KY",-84.60089111,39.01673508,10,4,0,6,18510
"ERWIN TN",-82.41162109,36.15189362,10,1,3,6,6028
"ESCANABA MI",-87.06468964,45.74517822,9,1,3,5,12468
"ESCONDIDO CA",-117.0886231,33.11952591,52,15,19,18,149079
"ESSEX JUNCTION VT",-73.11017609,44.49057007,17,6,7,4,9709
"ESSEXVILLE MI",-83.84166718,43.61558151,3,0,3,0,3432
"ESTACADA OR",-122.3353424,45.28915405,2,1,1,0,2968
"ESTERO FL",-81.80654144,26.43899536,14,5,3,6,29588
"ESTES PARK CO",-105.5249558,40.37337112,23,9,6,8,6103
"ESTHERVILLE IA",-94.83354187,43.40145493,1,0,0,1,6091
"ESTILL SPRINGS TN",-86.12779999,35.27093887,2,0,1,1,2142
"ETNA PA",-79.94859314,40.50443268,1,0,0,1,3432
"EUCLID OH",-81.52645111,41.59303284,11,3,3,5,48105
"EUDORA KS",-95.09897614,38.943367,1,1,0,0,6276
"EUFAULA AL",-85.1452179,31.89162636,2,0,1,1,12809
"EUGENE OR",-123.0898361,44.05194855,1588,458,445,685,159615
"EULESS TX",-97.08273315,32.83728409,98,22,24,52,53220
"EUNICE LA",-92.41770172,30.49472046,8,4,2,2,10252
"EUPORA MS",-89.26713562,33.54109192,1,1,0,0,2191
"EUREKA CA",-124.1653366,40.80156708,37,13,12,12,26985
"EUREKA MO",-90.62799835,38.50252533,29,7,8,14,10450
"EUREKA MT",-115.0545731,48.88105392,1,0,0,1,1254
"EUREKA SPRINGS AR",-93.73842621,36.40146255,3,1,2,0,2054
"EUSTIS FL",-81.68483734,28.85318184,5,1,1,3,19198
"EUTAW AL",-87.88775635,32.84085083,8,1,3,4,2834
"EVANS CITY PA",-80.06215668,40.76942062,1,0,0,1,1760
"EVANS CO",-104.6938095,40.37656403,10,4,3,3,20308
"EVANSTON IL",-87.69037628,42.04132843,389,103,107,179,75603
"EVANSTON WY",-110.9652634,41.26803589,53,16,21,16,12213
"EVANSVILLE IN",-87.56850433,37.97795486,389,106,100,183,120212
"EVART MI",-85.25918579,43.90063477,3,0,2,1,1515
"EVERETT MA",-71.05252075,42.40878296,104,27,34,43,43885
"EVERETT WA",-122.2045441,47.97843552,214,46,68,100,105685
"EVERGREEN PARK IL",-87.70169067,41.72086334,7,1,3,3,19934
"EVERMAN TX",-97.28966522,32.63102341,3,0,0,3,6279
"EVERTON MO",-93.70294189,37.34272385,1,1,0,0,338
"EWING MO",-91.70560455,40.00642395,1,0,1,0,358
"EXCELSIOR SPRINGS MO",-94.22633362,39.33908463,6,2,1,3,11512
"EXETER CA",-119.1437607,36.29608917,5,0,5,0,10481
"FABIUS NY",-75.98513794,42.83499908,1,0,0,1,310
"FAIR GROVE MO",-93.15155792,37.38409424,3,0,1,2,1612
"FAIR HAVEN NJ",-74.03659821,40.35977936,152,43,39,70,6075
"FAIR LAWN NJ",-74.13076019,40.94062424,2,0,1,1,33164
"FAIRBANKS AK",-147.7185669,64.83367157,121,29,43,49,32193
"FAIRBORN OH",-84.01902771,39.82121658,21,5,9,7,33251
"FAIRBURN GA",-84.58108521,33.56713867,5,0,1,4,13697
"FAIRCHILD WI",-90.96333313,44.60019302,1,1,0,0,524
"FAIRFAX CA",-122.5909805,37.98677063,5,1,3,1,7584
"FAIRFAX MO",-95.39389038,40.3384285,3,0,1,2,664
"FAIRFAX VA",-77.30588531,38.84661865,504,139,160,205,23402
"FAIRFIELD AL",-86.91445923,33.49562073,1,0,0,1,10987
"FAIRFIELD CA",-122.0420914,38.24917603,77,25,19,33,109468
"FAIRFIELD IA",-91.96311188,41.00863266,13,2,4,7,9739
"FAIRFIELD OH",-84.56064606,39.34600449,19,5,3,11,42678
"FAIRFIELD PA",-77.36804962,39.78766632,1,1,0,0,543
"FAIRFIELD TX",-96.16577911,31.72510147,1,0,0,1,2897
"FAIRHOPE AL",-87.90351105,30.52334213,4,1,1,2,17309
"FAIRMONT CITY IL",-90.09365845,38.65008545,20,5,4,11,2498
"FAIRMONT WV",-80.14244843,39.48347473,20,7,3,10,18773
"FAIRMOUNT GA",-84.69966888,34.43648911,7,2,1,4,841
"FAIRVIEW PA",-80.25499725,42.03170013,7,1,2,4,200
"FAIRVIEW PARK OH",-81.86431885,41.44171524,7,1,3,3,16552
"FAIRVIEW TN",-87.12164307,35.98221207,1,0,0,1,8121
"FAIRVIEW TX",-101.5199509,32.35611343,1,0,1,0,8109
"FALFURRIAS TX",-98.14491272,27.2275238,2,0,1,1,4512
"FALKVILLE AL",-86.90859222,34.36846542,1,0,0,1,1226
"FALL CREEK WI",-91.27741241,44.76337814,1,0,1,0,1321
"FALL RIVER MA",-71.15414429,41.70151138,38,10,14,14,88727
"FALLON NV",-118.7788696,39.47320557,15,3,5,7,8442
"FALLS CHURCH VA",-77.17056274,38.88268661,124,40,28,56,13308
"FALLS CITY TX",-98.01808167,28.98327637,1,1,0,0,581
"FARGO ND",-96.79805756,46.87498474,375,100,118,157,113464
"FARIBAULT MN",-93.26953125,44.29466248,13,4,2,7,23509
"FARMERS BRANCH TX",-96.89679718,32.92665482,17,5,6,6,31052
"FARMINGDALE NY",-73.44436646,40.73298645,10,3,2,5,8399
"FARMINGTON HILLS MI",-83.3771286,42.48558807,111,37,33,41,80971
"FARMINGTON IL",-90.00591278,40.69827271,1,0,0,1,2455
"FARMINGTON MI",-83.37620544,42.46465302,36,9,7,20,10509
"FARMINGTON MN",-93.14386749,44.64002991,9,2,2,5,22159
"FARMINGTON MO",-90.4220047,37.78110504,40,12,6,22,17570
"FARMINGTON NM",-108.2051544,36.73355865,19,1,8,10,44865
"FARMINGTON UT",-111.8891068,40.98031616,2,1,1,0,21223
"FARMVILLE NC",-77.41796112,35.59592056,1,0,0,1,4755
"FARMVILLE VA",-78.39121246,37.30234909,17,5,2,10,8355
"FAYETTE MO",-92.68386078,39.14609146,12,6,2,4,2708
"FAYETTE MS",-91.06066895,31.71204758,1,1,0,0,1563
"FAYETTEVILLE AR",-94.15759277,36.06256104,418,118,109,191,79037
"FAYETTEVILLE GA",-84.45489502,33.44916916,20,4,6,10,16500
"FAYETTEVILLE NC",-78.87771606,35.05313873,485,112,120,253,202521
"FAYETTEVILLE NY",-76.0059433,43.02997971,29,10,7,12,4203
"FAYETTEVILLE TN",-86.57073212,35.15206146,20,5,4,11,7060
"FAYETTEVILLE TX",-96.67340851,29.90643501,2,1,0,1,251
"FAYETTEVILLE WV",-81.10643005,38.05362701,1,1,0,0,2914
"FEDERAL HEIGHTS CO",-104.9993591,39.85155487,1,0,0,1,12037
"FEDERAL WAY WA",-122.314415,47.32177734,232,76,56,100,92859
"FEDERALSBURG MD",-75.77262115,38.69446945,5,2,1,2,2676
"FELLSMERE FL",-80.59937286,27.77430344,1,1,0,0,5390
"FELTON DE",-75.57888031,39.00894928,1,0,0,1,1658
"FENTON MI",-83.70490265,42.79768372,29,4,8,17,11538
"FENTON MO",-90.43593597,38.51305771,457,123,130,204,4033
"FERGUS FALLS MN",-96.07798004,46.28308868,1,0,0,1,13266
"FERGUSON MO",-90.306633,38.74429321,941,308,237,396,21120
"FERNANDINA BEACH FL",-81.46240234,30.66996193,12,3,4,5,11990
"FERNDALE MI",-83.13441467,42.46089172,241,58,60,123,20160
"FERNDALE WA",-122.5937119,48.84636688,13,4,5,4,12355
"FERNLEY NV",-119.2542114,39.60798645,2,0,1,1,19185
"FERRIDAY LA",-91.55467224,31.63029099,2,0,1,1,3438
"FESTUS MO",-90.39609528,38.22088623,45,15,9,21,11839
"FILLMORE CA",-118.919754,34.39930344,6,2,0,4,15296
"FINDLAY OH",-83.64990997,41.04424286,23,6,7,10,41278
"FINLEYVILLE PA",-80.00263977,40.25251389,1,0,1,0,434
"FIREBAUGH CA",-120.4577408,36.85879517,3,0,0,3,8084
"FITCHBURG MA",-71.79621124,42.58549881,15,3,4,8,40462
"FITCHBURG WI",-89.47031403,42.96075439,10,3,2,5,26616
"FITZGERALD GA",-83.25261688,31.71505928,4,2,0,2,9032
"FLAGLER BEACH FL",-81.12680054,29.47527695,66,17,20,29,4682
"FLAGSTAFF AZ",-111.6533051,35.19802475,269,73,70,126,68375
"FLAT ROCK MI",-83.29182434,42.09670639,3,0,0,3,9879
