"yday","location","time","location_total.counts","positive.counts","negative.counts","neutral.counts","counts","lon","lat","totalpopulation"
222,"CLEVELAND OH",2,79,18,34,27,79,-81.69516754,41.49978256,390584
222,"CLINTON MS",2,2,0,1,1,2,-90.33226776,32.34069061,25475
222,"CLINTON SC",2,2,1,1,0,2,-81.88014984,34.47286224,8561
222,"COCOA BEACH FL",2,1,0,1,0,1,-80.6068573,28.3203907,11355
222,"COLLEGE PARK GA",2,11,1,9,1,11,-84.44933319,33.65347672,14026
222,"COLLEGE PARK MD",2,7,2,4,1,7,-76.93619537,38.98080444,31730
222,"COLLEGEDALE TN",2,1,0,0,1,1,-85.05016327,35.0533371,9918
222,"COLORADO SPRINGS CO",2,8,0,7,1,8,-104.8225174,38.83369446,442040
222,"COLUMBIA KY",2,1,0,0,1,1,-85.30601501,37.10298538,4561
222,"COLUMBIA MO",2,26,7,12,7,26,-92.33429718,38.95169067,115391
222,"COLUMBIA SC",2,28,4,9,15,28,-81.04045105,34.00138855,131958
222,"COLUMBUS GA",2,3,0,1,2,3,-84.98313141,32.46828842,200285
222,"COLUMBUS MS",2,1,0,0,1,1,-88.42742157,33.49581909,23360
222,"COLUMBUS OH",2,92,11,40,41,92,-82.99890137,39.96136475,824663
222,"COMPTON CA",2,12,5,5,2,12,-118.2218704,33.89606857,97955
222,"CONCORD NC",2,3,1,1,1,3,-80.57880402,35.4092598,83903
222,"CONWAY AR",2,2,0,1,1,2,-92.4426651,35.08877563,63555
222,"CONYERS GA",2,1,0,1,0,1,-84.0175705,33.66764832,15577
222,"COOKEVILLE TN",2,1,0,1,0,1,-85.50189972,36.16290665,31831
222,"CORONA CA",2,9,2,3,4,9,-117.5688171,33.87516785,159595
222,"CORPUS CHRISTI TX",2,3,0,2,1,3,-97.42076874,27.77859879,316513
222,"CORTLAND NY",2,1,0,0,1,1,-76.17972565,42.60138702,19134
222,"CORVALLIS OR",2,3,0,1,2,3,-123.2646637,44.56417084,54981
222,"COSTA MESA CA",2,1,1,0,0,1,-117.9204407,33.64131927,112377
222,"COVINGTON LA",2,1,0,0,1,1,-90.10121918,30.475914,9350
222,"CRESTON IA",2,1,0,1,0,1,-94.3616333,41.05845642,7886
222,"CREVE COEUR MO",2,1,1,0,0,1,-90.42288971,38.66108322,17944
222,"CROTON-ON-HUDSON NY",2,1,0,0,1,1,-73.89041901,41.2085762,8202
222,"CROWN POINT IN",2,1,0,1,0,1,-87.36541748,41.41695023,28444
222,"CUMMING GA",2,1,0,1,0,1,-84.1401825,34.2074852,5588
222,"CUYAHOGA FALLS OH",2,6,4,2,0,6,-81.48397064,41.1338768,49287
222,"DALLAS TX",2,191,30,78,83,191,-96.80088043,32.78369904,1260688
222,"DALY CITY CA",2,4,0,1,3,4,-122.4645081,37.70376968,104930
222,"DANVILLE IL",2,1,1,0,0,1,-87.62978363,40.12442398,32337
222,"DARLINGTON SC",2,1,0,0,1,1,-79.86645508,34.30082321,6212
222,"DAVIDSON NC",2,1,0,0,1,1,-80.8433075,35.49843216,11765
222,"DAVIE FL",2,1,1,0,0,1,-80.23148346,26.0657177,97372
222,"DAVIS CA",2,3,0,0,3,3,-121.7421722,38.54467773,66510
222,"DAYTON OH",2,23,4,9,10,23,-84.19126892,39.75915146,141368
222,"DAYTONA BEACH FL",2,7,1,4,2,7,-81.02253723,29.21147537,62726
222,"DEBARY FL",2,3,0,1,2,3,-81.30838776,28.88345909,19547
222,"DECATUR GA",2,10,2,5,3,10,-84.29631805,33.77489471,20605
222,"DECATUR IL",2,1,0,0,1,1,-88.95516968,39.84060287,74654
222,"DELAWARE OH",2,2,1,1,0,2,-83.06757355,40.29886627,36794
222,"DELRAY BEACH FL",2,2,0,1,1,2,-80.07209778,26.46233368,63939
222,"DELTA CO",2,1,0,1,0,1,-108.0698395,38.74222946,8779
222,"DENTON TX",2,6,0,5,1,6,-97.13349915,33.21514893,125734
222,"DENVER CO",2,84,23,37,24,84,-104.9853745,39.73901749,649654
222,"DES MOINES IA",2,5,2,0,3,5,-93.6210022,41.59817123,208020
222,"DETROIT MI",2,142,23,64,55,142,-83.04567719,42.33172226,690074
222,"DONIPHAN MO",2,1,0,1,0,1,-90.82394409,36.62110138,2337
222,"DOUGLAS GA",2,9,2,5,2,9,-82.84980011,31.50903511,11750
222,"DOVER DE",2,2,0,0,2,2,-75.52090454,39.15853882,37144
222,"DOVER NH",2,5,0,2,3,5,-70.88840485,43.2059021,30534
222,"DOYLESTOWN PA",2,1,0,1,0,1,-75.1292038,40.31054688,8344
222,"DREW MS",2,1,0,1,0,1,-90.53083038,33.81049728,1941
222,"DUBUQUE IA",2,1,0,1,0,1,-90.67155457,42.51130295,58409
222,"DURANT OK",2,1,0,1,0,1,-96.37478638,33.99116135,16767
222,"DURHAM NC",2,36,8,15,13,36,-78.89787292,35.99412918,246084
222,"EAST LANSING MI",2,3,1,1,1,3,-84.48403931,42.73703384,48669
222,"EAST ORANGE NJ",2,17,2,4,11,17,-74.21418762,40.76618958,64578
222,"EAST PALO ALTO CA",2,2,0,1,1,2,-122.143013,37.46857452,29198
222,"EAST POINT GA",2,2,2,0,0,2,-84.43933868,33.67996979,35357
222,"EDEN PRAIRIE MN",2,5,1,0,4,5,-93.48716736,44.85310745,62626
222,"EDINBURG TX",2,2,0,1,1,2,-98.16417694,26.30259705,80924
222,"EDMOND OK",2,2,0,2,0,2,-97.48453522,35.65326309,86739
222,"EDWARDSVILLE IL",2,6,1,3,2,6,-89.95322418,38.8115654,24896
222,"EL CERRITO CA",2,2,0,1,1,2,-122.3142548,37.91544342,24418
222,"EL MONTE CA",2,1,0,1,0,1,-118.0298996,34.06880569,115711
222,"EL PASO TX",2,16,0,7,9,16,-106.4620514,31.78388405,676325
222,"ELGIN IL",2,2,0,1,1,2,-88.28123474,42.03733444,112105
222,"ELIZABETH CITY NC",2,1,1,0,0,1,-76.22274017,36.3025322,18111
222,"ELIZABETH NJ",2,3,1,2,0,3,-74.21881866,40.66823578,127759
222,"ELKHART IN",2,1,0,1,0,1,-85.97689056,41.68212128,52354
222,"ENGLEWOOD CO",2,2,0,2,0,2,-104.9884491,39.6479187,31877
222,"ERIE PA",2,8,1,3,4,8,-80.08492279,42.12926483,100678
222,"EUGENE OR",2,6,0,5,1,6,-123.0898361,44.05194855,159615
222,"EVANSTON IL",2,13,4,5,4,13,-87.69037628,42.04132843,75603
222,"EVANSVILLE IN",2,4,1,0,3,4,-87.56850433,37.97795486,120212
222,"EVERETT WA",2,1,0,1,0,1,-122.2045441,47.97843552,105685
222,"FAIR HAVEN NJ",2,3,0,0,3,3,-74.03659821,40.35977936,6075
222,"FAIRBANKS AK",2,2,0,1,1,2,-147.7185669,64.83367157,32193
222,"FAIRBURN GA",2,1,0,1,0,1,-84.58108521,33.56713867,13697
222,"FAIRFAX VA",2,3,0,1,2,3,-77.30588531,38.84661865,23402
222,"FAIRFIELD OH",2,3,1,1,1,3,-84.56064606,39.34600449,42678
222,"FARGO ND",2,7,1,2,4,7,-96.79805756,46.87498474,113464
222,"FARMINGTON HILLS MI",2,1,0,1,0,1,-83.3771286,42.48558807,80971
222,"FARMINGTON MO",2,3,0,0,3,3,-90.4220047,37.78110504,17570
222,"FAYETTEVILLE AR",2,2,0,0,2,2,-94.15759277,36.06256104,79037
222,"FAYETTEVILLE NC",2,6,2,1,3,6,-78.87771606,35.05313873,202521
222,"FEDERAL WAY WA",2,9,3,2,4,9,-122.314415,47.32177734,92859
222,"FERGUSON MO",2,10,2,3,5,10,-90.306633,38.74429321,21120
222,"FERNDALE WA",2,1,0,0,1,1,-122.5937119,48.84636688,12355
222,"FINDLAY OH",2,1,0,1,0,1,-83.64990997,41.04424286,41278
222,"FLINT MI",2,15,3,7,5,15,-83.68744659,43.01246643,99802
222,"FLORENCE SC",2,1,0,1,0,1,-79.76351166,34.19935226,38000
222,"FLORISSANT MO",2,13,2,7,4,13,-90.32299042,38.78946304,52356
